neighbourhood,donkey,,,,,,,,,
,,,,,,,,,,
Gemeente,a aantal beschikbare voertuigen,b verhuringen per dag,c aantal verhuringen per voertuig per dag.,d aantal > 24 uur te huur,e % > 24 uur te huur,f aantal > 4 dagen te huur,g % > 4 dagen te huur,h aantal > 7 dagen te huur,i % > 7 dagen te huur,j Gemiddelde verhuurduur in minuten
Amsterdam,231,101,0.4,177,77%,125,54%,100,43%,1849.1
,,,,,,,,,,
Wijken,,,,,,,,,,
Amstel III/Bullewijk,,,,,,,,,,
Apollobuurt,3,1,0.4,3,77%,2,55%,1,44%,1640.3
Banne Buiksloot,,,,,,,,,,
Bedrijventerrein Sloterdijk,4,4,0.9,2,57%,2,35%,1,27%,1610.6
Betondorp,2,0,0.2,1,82%,1,54%,1,37%,2396.1
"Bijlmer Centrum (D,F,H)",,,,,,,,,,
"Bijlmer Oost (E,G,K)",,,,,,,,,,
Buikslotermeer,,,,,,,,,,
Buitenveldert-Oost,1,0,0.5,1,68%,0,40%,0,30%,1617.4
Buitenveldert-West,7,3,0.4,5,76%,4,53%,3,43%,1616.1
Burgwallen-Nieuwe Zijde,3,8,2.6,1,29%,0,8%,0,5%,957.1
Burgwallen-Oude Zijde,1,4,3.3,1,46%,0,26%,0,18%,771.2
Centrale Markt,0,0,1.3,0,53%,0,26%,0,13%,1069.9
Chassébuurt,1,1,1.2,0,52%,0,31%,0,25%,1414.0
Da Costabuurt,,,,,,,,,,
Dapperbuurt,9,3,0.3,7,80%,5,56%,4,43%,2121.1
De Kolenkit,2,1,0.4,1,76%,1,53%,1,43%,2325.8
De Punt,,,,,,,,,,
De Weteringschans,1,4,3.1,1,43%,0,27%,0,20%,1044.2
Driemond,,,,,,,,,,
Eendracht,0,0,0.4,0,73%,0,34%,0,18%,1418.3
Elzenhagen,1,0,0.4,0,71%,0,31%,0,17%,1648.7
Erasmuspark,,,,,,,,,,
Frankendael,10,4,0.4,8,77%,6,58%,5,49%,2347.8
Frederik Hendrikbuurt,,,,,,,,,,
Gein,,,,,,,,,,
Geuzenbuurt,0,0,1.1,0,53%,0,28%,0,19%,1192.1
Geuzenveld,1,0,0.2,0,80%,0,45%,0,29%,1142.7
Grachtengordel-West,0,0,2.0,0,0%,0,0%,0,0%,9518.3
Grachtengordel-Zuid,0,0,0.3,0,67%,0,0%,0,0%,18941.3
Haarlemmerbuurt,,,,,,,,,,
Helmersbuurt,,,,,,,,,,
Holendrecht/Reigersbos,,,,,,,,,,
Hoofddorppleinbuurt,8,2,0.3,7,84%,6,72%,5,68%,2223.1
Hoofdweg e.o.,0,0,2.0,0,50%,0,20%,0,0%,409.1
Houthavens,,,,,,,,,,
IJburg Oost,,,,,,,,,,
IJburg West,11,2,0.2,10,86%,7,65%,6,54%,1119.3
IJburg Zuid,5,1,0.2,4,82%,3,58%,2,47%,1172.6
IJplein/Vogelbuurt,2,0,0.2,2,85%,1,64%,1,55%,3482.9
IJselbuurt,,,,,,,,,,
Indische Buurt Oost,5,1,0.2,4,84%,3,62%,2,51%,2019.4
Indische Buurt West,5,2,0.4,4,77%,3,49%,2,35%,1655.6
Jordaan,,,,,,,,,,
Kadoelen,,,,,,,,,,
Kinkerbuurt,,,,,,,,,,
Landlust,7,3,0.4,5,76%,4,56%,3,46%,2662.5
Lutkemeer/Ookmeer,,,,,,,,,,
Middelveldsche Akerpolder,,,,,,,,,,
Middenmeer,8,2,0.2,7,84%,5,61%,4,49%,2059.4
Museumkwartier,,,,,,,,,,
Nellestein,,,,,,,,,,
Nieuwe Pijp,2,1,0.8,1,65%,1,42%,0,33%,1702.8
Nieuwendammerdijk/Buiksloterdijk,,,,,,,,,,
